"_url","name","date_of_foundation","city_of_origin","signature_color","logo_link","url"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Al·lots de Llevant","1997","Manacor","Verd fosc","https://upload.wikimedia.org/wikipedia/ca/thumb/d/db/Logo_AdL.JPG/51px-Logo_AdL.JPG","https://ca.wikipedia.org/wiki/Al·lots_de_Llevant"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Bordegassos de Vilanova","1972","Vilanova i la Geltrú","Groc terrós","","https://ca.wikipedia.org/wiki/Bordegassos_de_Vilanova"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Brivalls de Cornudella","1976-1985, 2012","Cornudella de Montsant","Blau marí","","https://ca.wikipedia.org/wiki/Brivalls_de_Cornudella"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Capgrossos de Mataró","1996","Mataró","Blau marí","","https://ca.wikipedia.org/wiki/Capgrossos_de_Mataró"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Carallots de Sant Vicenç dels Horts","2012","Sant Vicenç dels Horts","Taronja","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Escut_dels_Carallots_de_Sant_Vicen%C3%A7_dels_Horts.jpg/140px-Escut_dels_Carallots_de_Sant_Vicen%C3%A7_dels_Horts.jpg","https://ca.wikipedia.org/wiki/Carallots_de_Sant_Vicenç_dels_Horts"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers d'Altafulla","1973-1988, 1995","Altafulla","Lila","","https://ca.wikipedia.org/wiki/Castellers_d%27Altafulla"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers d'Andorra","2014","Santa Coloma d'Andorra","Bordeus","https://upload.wikimedia.org/wikipedia/ca/thumb/0/01/Castellersandorra.png/140px-Castellersandorra.png","https://ca.wikipedia.org/wiki/Castellers_d%27Andorra"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers d'Esparreguera","1994","Esparreguera","Bordeus","https://upload.wikimedia.org/wikipedia/ca/thumb/3/32/Esparraguera_logo.jpg/89px-Esparraguera_logo.jpg","https://ca.wikipedia.org/wiki/Castellers_d%27Esparreguera"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Badalona","1996","Badalona","Micaco","https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Escut_micacos.jpg/131px-Escut_micacos.jpg","https://ca.wikipedia.org/wiki/Castellers_de_Badalona"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Barcelona","1969","Barcelona","Vermell","https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Escut_actual_dels_Castellers_de_Barcelona.svg/104px-Escut_actual_dels_Castellers_de_Barcelona.svg.png","https://ca.wikipedia.org/wiki/Castellers_de_Barcelona"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Berga","2012","Berga","Blau fosc","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Escut_camisa_castellers_de_Berga.jpg/75px-Escut_camisa_castellers_de_Berga.jpg","https://ca.wikipedia.org/wiki/Castellers_de_Berga"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Caldes de Montbui","1996","Caldes de Montbui","Verd ampolla","","https://ca.wikipedia.org/wiki/Castellers_de_Caldes_de_Montbui"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Castellar del Vallès","2013","Castellar del Vallès","Bordeus","","https://ca.wikipedia.org/wiki/Castellers_de_Castellar_del_Vallès"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Castelldefels","1981","Castelldefels","Groc","https://upload.wikimedia.org/wikipedia/ca/thumb/4/48/Escut-castellers-castelldefels.png/140px-Escut-castellers-castelldefels.png","https://ca.wikipedia.org/wiki/Castellers_de_Castelldefels"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Cerdanyola","1998","Cerdanyola del Vallès","Verd","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Escut_dels_Castellers_de_Cerdanyola_camisa.jpg/135px-Escut_dels_Castellers_de_Cerdanyola_camisa.jpg","https://ca.wikipedia.org/wiki/Castellers_de_Cerdanyola"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Cornellà","1991","Cornellà de Llobregat","Lila","","https://ca.wikipedia.org/wiki/Castellers_de_Cornell%C3%A0"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de l'Alt Maresme","2013","Pineda de Mar","Vermell maduixa","","https://ca.wikipedia.org/wiki/Castellers_de_l%27Alt_Maresme"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Colla Castellera de l'Esquerra de l'Eixample","2018","Barcelona (Esquerra de l'Eixample)","Lila","","https://ca.wikipedia.org/wiki/Colla_Castellera_de_l%27Esquerra_de_l%27Eixample"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de la Sagrada Família","2002","Barcelona (Sagrada Família)","Verd","","https://ca.wikipedia.org/wiki/Castellers_de_la_Sagrada_Fam%C3%ADlia"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de la Vila de Gràcia","1996","Barcelona (Vila de Gràcia)","Blau marí","","https://ca.wikipedia.org/wiki/Castellers_de_la_Vila_de_Gr%C3%A0cia"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de les Roquetes","2011","Sant Pere de Ribes (Les Roquetes)","Gris","","https://ca.wikipedia.org/wiki/Castellers_de_les_Roquetes"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Lleida","1995","Lleida","Bordeus","","https://ca.wikipedia.org/wiki/Castellers_de_Lleida"
"https://ca.wikipedia.org/wiki/Llista_de_colles_castelleres","Castellers de Mallorca","1995","Palma","Granat","","https://ca.wikipedia.org/wiki/Castellers_de_Mallorca"
