nom,url,tipus,estat,color_camisa,codi_color,color_hsv/0,color_hsv/1,color_hsv/2,fundacio,desaparicio,refundacio,color_rgb/0,color_rgb/1,color_rgb/2,color_hsl/0,color_hsl/1,color_hsl/2,web,localitat,escut,patro,codi_color2
Al·lots de Llevant,https://ca.wikipedia.org/wiki/Al%C2%B7lots_de_Llevant,convencional,activa,Verd fosc,#2e8785,179,66,53,1997,,,46,135,133,178.7,49.2,35.5,al-lotsdellevant.cat,Manacor,https://upload.wikimedia.org/wikipedia/ca/thumb/d/db/Logo_AdL.JPG/51px-Logo_AdL.JPG,,
Bordegassos de Vilanova,https://ca.wikipedia.org/wiki/Bordegassos_de_Vilanova,convencional,activa,Groc terrós,#fdc402,46,99,99,1972,,,253,196,2,46.4,98.4,50,bordegassos.cat,Vilanova i la Geltrú,,,
Brivalls de Cornudella,https://ca.wikipedia.org/wiki/Brivalls_de_Cornudella,convencional,activa,Blau marí,#2f317c,238,62,49,"1976-1985, 2012",1985,2012,47,49,124,238.4,45,33.5,brivalls.cat,Cornudella de Montsant,,,
Capgrossos de Mataró,https://ca.wikipedia.org/wiki/Capgrossos_de_Matar%C3%B3,convencional,activa,Blau marí,#20418b,221,77,55,1996,,,32,65,139,221.5,62.6,33.5,capgrossos.cat,Mataró,,,
Carallots de Sant Vicenç dels Horts,https://ca.wikipedia.org/wiki/Carallots_de_Sant_Vicen%C3%A7_dels_Horts,convencional,activa,Taronja,#ed7715,27,91,93,2012,,,237,119,21,27.2,85.7,50.6,carallots.cat,Sant Vicenç dels Horts,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Escut_dels_Carallots_de_Sant_Vicen%C3%A7_dels_Horts.jpg/140px-Escut_dels_Carallots_de_Sant_Vicen%C3%A7_dels_Horts.jpg,,
Castellers d'Altafulla,https://ca.wikipedia.org/wiki/Castellers_d%27Altafulla,convencional,activa,Lila,#6f3a88,281,57,53,"1973-1988, 1995",1988,1995,111,58,136,280.8,40.2,38,castellersaltafulla.cat,Altafulla,,,
Castellers d'Andorra,https://ca.wikipedia.org/wiki/Castellers_d%27Andorra,convencional,activa,Bordeus,#721e35,344,74,45,2014,,,114,30,53,343.6,58.3,28.2,castellersandorra.com,Santa Coloma d'Andorra,https://upload.wikimedia.org/wikipedia/ca/thumb/0/01/Castellersandorra.png/140px-Castellersandorra.png,,
Castellers d'Esparreguera,https://ca.wikipedia.org/wiki/Castellers_d%27Esparreguera,convencional,activa,Bordeus,#9f161d,357,86,62,1994,,,159,22,29,356.9,75.7,35.5,castellersdesparreguera.cat,Esparreguera,https://upload.wikimedia.org/wikipedia/ca/thumb/3/32/Esparraguera_logo.jpg/89px-Esparraguera_logo.jpg,,
Castellers de Badalona,https://ca.wikipedia.org/wiki/Castellers_de_Badalona,convencional,activa,Micaco (nespre),#fbbe49,39,71,98,1996,,,251,190,73,39.4,95.7,63.5,castellersdebadalona.cat,Badalona,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Escut_micacos.jpg/131px-Escut_micacos.jpg,,
Castellers de Barcelona,https://ca.wikipedia.org/wiki/Castellers_de_Barcelona,convencional,activa,Vermell,#D9001D,352,100,85,1969,,,217,0,29,352,100,42.5,castellersdebarcelona.cat,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Escut_actual_dels_Castellers_de_Barcelona.svg/104px-Escut_actual_dels_Castellers_de_Barcelona.svg.png,,
